page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_35.png,ESG特色与2025年创新成果,缩短研发周期、大幅度减少研发过程能耗及物料消耗,高通量发酵平台,,{'2025年': '通过发酵体系的小体量化与并行化设计，可同时对多种不同菌株、配方或工艺参数体系进行发酵培养，缩短菌体筛选与工艺摸索周期，提升研发效率。'},缩短研发周期、大幅度减少研发过程能耗及物料消耗-高通量发酵平台 通过发酵体系的小体量化与并行化设计，可同时对多种不同菌株、配方或工艺参数体系进行发酵培养，缩短菌体筛选与工艺摸索周期，提升研发效率。,no_schema_match
page_35.png,研发能力建设,公司研发团队,人数,人,{'2025年': '160'},公司研发团队 人数 人 2025年 160,no_schema_match
page_35.png,研发能力建设,公司研发团队,其中硕博占比,%,{'2025年': '18%'},公司研发团队 其中硕博占比 % 2025年 18%,no_schema_match
page_35.png,研发能力建设,公司研发团队,其中硕博构成,名,{'2025年': '含博士3名、硕士27名'},公司研发团队 其中硕博构成 名 2025年 含博士3名、硕士27名,no_schema_match
page_36.png,指标和目标-2025年,,在研项目,项,{'2025年': '51'},在研项目 项 2025年 51,no_schema_match
page_36.png,指标和目标-2025年,,新增申请发明专利,项,{'2025年': '11'},新增申请发明专利 项 2025年 11,no_schema_match
page_36.png,指标和目标-2025年,,获得国家授权专利,项,{'2025年': '19'},获得国家授权专利 项 2025年 19,no_schema_match
page_36.png,指标和目标-2025年,,其中发明专利,项,{'2025年': '12'},其中发明专利 项 2025年 12,no_schema_match
page_36.png,指标和目标-2025年,,实用新型专利,项,{'2025年': '7'},实用新型专利 项 2025年 7,no_schema_match
page_37.png,2025年公益参与情况表,公益慈善、志愿活动总参与人次,总参与人次,人次,{'2024年': '116'},公益慈善、志愿活动总参与人次 总参与人次 人次 2024年 116,no_schema_match
page_37.png,2025年公益参与情况表,公益慈善、志愿活动总参与时长,总参与时长,小时,{'2024年': '278'},公益慈善、志愿活动总参与时长 总参与时长 小时 2024年 278,no_schema_match
page_39.png,尽职调查-治理绩效,合同合规审核,合同合规审核完成率,%,{'2024年': '100'},合同合规审核 合同合规审核完成率 % 2024年 100,no_schema_match
page_40.png,ESG关键绩效表-废水排放,,圣达生物,吨,"{'2025年': '215,546'}","圣达生物 2025年 吨 215,546",no_schema_match
page_40.png,ESG关键绩效表-废水排放,,安徽圣达,吨,"{'2025年': '31,043'}","安徽圣达 2025年 吨 31,043",no_schema_match
page_40.png,ESG关键绩效表-废水排放,,通辽圣达,吨,"{'2025年': '896,171'}","通辽圣达 2025年 吨 896,171",no_schema_match
page_40.png,ESG关键绩效表-废水排放,,新银象（含滋消食品）,吨,"{'2025年': '435,595'}","新银象（含滋消食品） 2025年 吨 435,595",no_schema_match
page_40.png,ESG关键绩效表-废气排放,,圣达生物,万立方米,"{'2025年': '17,732'}","圣达生物 2025年 万立方米 17,732",no_schema_match
page_40.png,ESG关键绩效表-废气排放,,安徽圣达,万立方米,"{'2025年': '4,817'}","安徽圣达 2025年 万立方米 4,817",no_schema_match
page_40.png,ESG关键绩效表-废气排放,,通辽圣达,万立方米,"{'2025年': '51,210'}","通辽圣达 2025年 万立方米 51,210",no_schema_match
page_40.png,ESG关键绩效表-废气排放,,新银象（含滋消食品）,万立方米,"{'2025年': '83,016'}","新银象（含滋消食品） 2025年 万立方米 83,016",no_schema_match
page_41.png,环境合规管理,,重大环保违规事件,件,{'2025年': '0'},环境合规管理-重大环保违规事件 件 2025年 0,no_schema_match
page_41.png,环境合规管理,,因环境规问题受到行政处罚或追究刑事责任,件,{'2025年': '0'},环境合规管理-因环境规问题受到行政处罚或追究刑事责任 件 2025年 0,no_schema_match
page_41.png,环境合规管理,,环境保护总投入金额,万元,"{'2025年': '5,756.46'}","环境合规管理-环境保护总投入金额 万元 2025年 5,756.46",no_schema_match
page_41.png,环境合规管理,,环境保护相关培训活动次数,次,{'2025年': '25'},环境合规管理-环境保护相关培训活动次数 次 2025年 25,no_schema_match
page_41.png,环境合规管理,,环境保护相关培训活动参与人次,人次,"{'2025年': '1,001'}","环境合规管理-环境保护相关培训活动参与人次 人次 2025年 1,001",no_schema_match
page_41.png,员工,,期末在职员工结构（按性别）,人,{'2025年': '710'},员工-期末在职员工结构（按性别）-男性 人 2025年 710,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按性别）,人,{'2025年': '373'},员工-期末在职员工结构（按性别）-女性 人 2025年 373,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按年龄）,人,{'2025年': '202'},员工-期末在职员工结构（按年龄）-30岁及以下 人 2025年 202,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按年龄）,人,{'2025年': '617'},员工-期末在职员工结构（按年龄）-30岁至50岁 人 2025年 617,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按年龄）,人,{'2025年': '264'},员工-期末在职员工结构（按年龄）-50岁及以上 人 2025年 264,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按专业构成）,人,{'2025年': '765'},员工-期末在职员工结构（按专业构成）-生产人员 人 2025年 765,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按专业构成）,人,{'2025年': '42'},员工-期末在职员工结构（按专业构成）-销售人员 人 2025年 42,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按专业构成）,人,{'2025年': '163'},员工-期末在职员工结构（按专业构成）-技术人员 人 2025年 163,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按专业构成）,人,{'2025年': '24'},员工-期末在职员工结构（按专业构成）-财务人员 人 2025年 24,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按专业构成）,人,{'2025年': '89'},员工-期末在职员工结构（按专业构成）-行政人员 人 2025年 89,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按教育程度）,人,{'2025年': '3'},员工-期末在职员工结构（按教育程度）-博士研究生 人 2025年 3,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按教育程度）,人,{'2025年': '41'},员工-期末在职员工结构（按教育程度）-硕士研究生 人 2025年 41,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按教育程度）,人,{'2025年': '254'},员工-期末在职员工结构（按教育程度）-本科 人 2025年 254,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按教育程度）,人,{'2025年': '205'},员工-期末在职员工结构（按教育程度）-大专 人 2025年 205,dimension_header_skip_match
page_41.png,员工,,期末在职员工结构（按教育程度）,人,{'2025年': '580'},员工-期末在职员工结构（按教育程度）-高中及以下 人 2025年 580,dimension_header_skip_match
page_41.png,员工,,劳动合同签订比例,%,{'2025年': '100'},员工-劳动合同签订比例 % 2025年 100,no_schema_match
page_41.png,员工,,员工五险一金覆盖比例,%,{'2025年': '100'},员工-员工五险一金覆盖比例 % 2025年 100,no_schema_match
page_41.png,员工,,劳动诉讼、劳动仲裁等与员工纠纷事件,件,{'2025年': '0'},员工-劳动诉讼、劳动仲裁等与员工纠纷事件 件 2025年 0,no_schema_match
page_41.png,员工,,员工培训总次数,次,{'2025年': '440'},员工-员工培训总次数 次 2025年 440,no_schema_match
page_41.png,员工,,员工培训总时数,小时,{'2025年': '830'},员工-员工培训总时数 小时 2025年 830,rejected_by_schema_validator:required_keyword_missing; original_reason=fuzzy_alias_match:0.86:员工培训总时长
page_41.png,员工,,员工培训总投入金额,元,"{'2025年': '12,650'}","员工-员工培训总投入金额 元 2025年 12,650",no_schema_match
page_41.png,职业健康安全,,职业健康安全相关培训活动次数,次,{'2025年': '93'},职业健康安全-职业健康安全相关培训活动次数 次 2025年 93,no_schema_match
page_41.png,职业健康安全,,职业健康安全相关培训活动参与人次,人次,"{'2025年': '5,230'}","职业健康安全-职业健康安全相关培训活动参与人次 人次 2025年 5,230",no_schema_match
page_41.png,职业健康安全,,安全生产总投入金额,万元,{'2025年': '589.25'},职业健康安全-安全生产总投入金额 万元 2025年 589.25,no_schema_match
page_41.png,职业健康安全,,员工工亡人数,人,{'2025年': '0'},职业健康安全-员工工亡人数 人 2025年 0,no_schema_match
page_41.png,职业健康安全,,承包商工亡人数,人,{'2025年': '0'},职业健康安全-承包商工亡人数 人 2025年 0,no_schema_match
page_41.png,职业健康安全,,重大安全生事故,起,{'2025年': '0'},职业健康安全-重大安全生事故 起 2025年 0,no_schema_match
page_41.png,职业健康安全,,工伤保险总投入金额,万元,{'2025年': '24.92'},职业健康安全-工伤保险总投入金额 万元 2025年 24.92,no_schema_match
page_41.png,职业健康安全,,工伤保险覆盖率,%,{'2025年': '100'},职业健康安全-工伤保险覆盖率 % 2025年 100,no_schema_match
page_41.png,职业健康安全,,安全生产责任险总投入金额,万元,{'2025年': '15.81'},职业健康安全-安全生产责任险总投入金额 万元 2025年 15.81,no_schema_match
page_41.png,职业健康安全,,安全生产责任险覆盖率,%,{'2025年': '100'},职业健康安全-安全生产责任险覆盖率 % 2025年 100,no_schema_match
page_41.png,供应链管理,,原辅料供应商签订包含环境、劳工和人权要求条款的采购合同比例,%,{'2025年': '100'},供应链管理-原辅料供应商签订包含环境、劳工和人权要求条款的采购合同比例 % 2025年 100,no_schema_match
page_41.png,供应链管理,,参加企业社会责任、环境现场审核供应商比例,%,{'2025年': '70'},供应链管理-参加企业社会责任、环境现场审核供应商比例 % 2025年 70,no_schema_match
page_41.png,产品和服务安全与质量,,产品和服务相关的安全与质量重大责任事故,件,{'2025年': '0'},产品和服务安全与质量-产品和服务相关的安全与质量重大责任事故 件 2025年 0,no_schema_match
page_41.png,产品和服务安全与质量,,已售或已运送产品因安全与健康问题而须召回的事件,件,{'2025年': '0'},产品和服务安全与质量-已售或已运送产品因安全与健康问题而须召回的事件 件 2025年 0,no_schema_match
page_41.png,产品和服务安全与质量,,接获产品或服务相关客户投诉数量,件,{'2025年': '52'},产品和服务安全与质量-接获产品或服务相关客户投诉数量 件 2025年 52,no_schema_match
page_41.png,产品和服务安全与质量,,客户投诉解决率,%,{'2025年': '100'},产品和服务安全与质量-客户投诉解决率 % 2025年 100,no_schema_match
page_41.png,数据安全与客户隐私保护,,重大数据安全事件,件,{'2025年': '0'},数据安全与客户隐私保护-重大数据安全事件 件 2025年 0,no_schema_match
page_42.png,创新驱动,,研发团队人数,人,{'2025年': '160'},研发团队人数 人 2025年 160,no_schema_match
page_42.png,创新驱动,,- 博士研究生,人,{'2025年': '3'},- 博士研究生 人 2025年 3,no_schema_match
page_42.png,创新驱动,,- 硕士研究生,人,{'2025年': '27'},- 硕士研究生 人 2025年 27,no_schema_match
page_42.png,创新驱动,,- 本科及以下,人,{'2025年': '130'},- 本科及以下 人 2025年 130,no_schema_match
page_42.png,创新驱动,,研发团队占员工总数比例,%,{'2025年': '14.77'},研发团队占员工总数比例 % 2025年 14.77,rejected_by_schema_validator:unit_type_mismatch:person_count; original_reason=heuristic_total_employees
page_42.png,创新驱动,,国家授权专利数量,项,{'2025年': '19'},国家授权专利数量 项 2025年 19,rejected_by_schema_validator:field_not_in_core_schema; original_reason=heuristic_authorized_patents_new
page_42.png,创新驱动,,- 发明专利,项,{'2025年': '12'},- 发明专利 项 2025年 12,no_schema_match
page_42.png,创新驱动,,- 实用新型专利,项,{'2025年': '7'},- 实用新型专利 项 2025年 7,no_schema_match
page_42.png,创新驱动,,新增申请发明专利数量,项,{'2025年': '11'},新增申请发明专利数量 项 2025年 11,no_schema_match
page_42.png,社会贡献,,公益慈善、志愿活动参与人次,人次,{'2025年': '116'},公益慈善、志愿活动参与人次 人次 2025年 116,no_schema_match
page_42.png,社会贡献,,公益慈善、志愿活动参与时长,小时,{'2025年': '278'},公益慈善、志愿活动参与时长 小时 2025年 278,no_schema_match
page_42.png,反商业贿赂及反贪污,,商业贿赂及贪污事件,件,{'2025年': '0'},商业贿赂及贪污事件 件 2025年 0,no_schema_match
page_42.png,反不正当竞争,,因公司不正当竞争行为导致诉讼或重大行政处罚的事件,件,{'2025年': '0'},因公司不正当竞争行为导致诉讼或重大行政处罚的事件 件 2025年 0,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,应对气候变化,,{},环境 应对气候变化 应对气候变化,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,污染物排放,,{},环境 污染物排放 污染物排放,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,废弃物处理,,{},环境 废弃物处理 废弃物处理,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,生态系统和生物多样性保护,,{},环境 生态系统和生物多样性保护 生态系统和生物多样性保护,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,环境合规管理,,{},环境 环境合规管理 环境合规管理,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,能源利用,,{},环境 能源利用 能源利用,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,水资源利用,,{},环境 水资源利用 水资源利用,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,循环经济,,{},环境 循环经济 循环经济,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,乡村振兴,,{},环境 乡村振兴 乡村振兴,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,社会责任,,{},社会 社会责任 社会责任,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,创新驱动,,{},社会 创新驱动 创新驱动,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,科技伦理,,{},社会 科技伦理 不适用,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,供应链安全,,{},社会 供应链安全 供应链管理,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,平等对待中小企业,,{},社会 平等对待中小企业 不适用,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,产品和服务安全与质量,,{},社会 产品和服务安全与质量 产品和服务安全与质量,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,数据安全与客户隐私保护,,{},社会 数据安全与客户隐私保护 数据安全与客户隐私保护,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,员工、职业健康安全,,{},社会 员工 员工、职业健康安全,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,尽职调查,,{},可持续发展相关治理 尽职调查 尽职调查,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,利益相关方沟通,,{},可持续发展相关治理 利益相关方沟通 利益相关方沟通,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,反商业贿赂及反贪污,,{},可持续发展相关治理 反商业贿赂及反贪污 反商业贿赂及反贪污,no_schema_match
page_42.png,《上海证券交易所上市公司自律监管指引第14号——可持续发展报告(试行)》索引表,,反不正当竞争,,{},可持续发展相关治理 反不正当竞争 反不正当竞争,no_schema_match
