field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
environmental_penalty_count,环境违规或处罚事件数量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p40_62,40,1,0.01639344,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 13.87 15.13 一般废弃物排放量 吨 33998.67 43095.82 49556.5 危险废弃物排放量 吨 101378.63 103115.23 95832.57 万元增加值综合能耗 吨标煤 / 万元 0.9418 0.8206 0.8805 万元营业收入综合能耗 吨标煤 / 万元 0.2487 0.2257 0.2428 耗电量 千瓦时 685110000 689826000 708204300 单位面积用电量 千瓦时 / 平方米 454.53 457.66 469.85 年度新鲜水用水量 吨 5004645 5139100 5662118...,8 质量培训学时 小时 152.8 172 167 重大质量责任事故数 起 0 0 0 公益捐赠总额 万元 0.7 0.4 0.3 乡村振兴帮扶投入 万元 3 43.3 3 环境绩效 指标 单位 2022 年 2023 年 2024 年 指标 单位 2022 年 2023 年 2024 年 环保投入 万元 17338.87 16419 18120.29 一般及以上环境突发事件数 次 0 0 0 综合能源消耗量 万吨标煤 13.98 1...
total_employees,员工总数,S,extracted,6388,人,2024,route_a_appendix_table,0.93,auto_cited,,table_page_40,40,1,,员工总数 人 2022年 6311 2023年 6484 2024年 6388,员工总数 人 2022年 6311 2023年 6484 2024年 6388
male_employees,男性员工人数,S,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_29,19,1,0.01639344,29 鲁抗医药2024 年度ESG 可持续发展报告 28 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 加强反腐倡廉 → ++ 1. 扛起监督大旗，积极履行监督职责。 在政治监督方面，进一步强化落实；在日常监督环节，着力做细做深。协助公司党委积极落实各项 工作，持续强化对“关键少数”的监督力度。通过构建“大监督”体系，不断增强监督的整体合力和实 效性。同时，一如既往抓好“四位一体”监督的最后环节，针对落实整改不力、玩忽职守、敷衍塞责的 人员，由纪检部门介入，严肃问责，并予以通报曝光。 2. 在廉洁风险防控上持续发力。 制定《加强廉洁风险防控》管理专项，完善公司班子成员等“关键少数”人员廉洁风险防控措施清单， 并实行动态监督；制定下发《公司各单位“靠企吃企”廉政建设风险点清单》及《深入推进廉洁风险防 控体系建设的工作方案》，深入开展廉洁风险防控体系建设各项工作，助推鲁抗持续、健康、高质量发展。 3. 高度重视人员的思想警示教育工作。 注重从思...,29 鲁抗医药2024 年度ESG 可持续发展报告 28 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 加强反腐倡廉 → ++ 1. 扛起监督大旗，积极履行监督职责。 在政治监督方面，进一步强化落实；在日常监督环节，着力做细做深。协助公司党委积极落实各项 工作，持续强化对“关键少数”的监督力...
female_employees,女性员工人数,S,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_29,19,1,0.01612903,29 鲁抗医药2024 年度ESG 可持续发展报告 28 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 加强反腐倡廉 → ++ 1. 扛起监督大旗，积极履行监督职责。 在政治监督方面，进一步强化落实；在日常监督环节，着力做细做深。协助公司党委积极落实各项 工作，持续强化对“关键少数”的监督力度。通过构建“大监督”体系，不断增强监督的整体合力和实 效性。同时，一如既往抓好“四位一体”监督的最后环节，针对落实整改不力、玩忽职守、敷衍塞责的 人员，由纪检部门介入，严肃问责，并予以通报曝光。 2. 在廉洁风险防控上持续发力。 制定《加强廉洁风险防控》管理专项，完善公司班子成员等“关键少数”人员廉洁风险防控措施清单， 并实行动态监督；制定下发《公司各单位“靠企吃企”廉政建设风险点清单》及《深入推进廉洁风险防 控体系建设的工作方案》，深入开展廉洁风险防控体系建设各项工作，助推鲁抗持续、健康、高质量发展。 3. 高度重视人员的思想警示教育工作。 注重从思...,29 鲁抗医药2024 年度ESG 可持续发展报告 28 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 加强反腐倡廉 → ++ 1. 扛起监督大旗，积极履行监督职责。 在政治监督方面，进一步强化落实；在日常监督环节，着力做细做深。协助公司党委积极落实各项 工作，持续强化对“关键少数”的监督力...
female_employee_ratio,女性员工比例,S,extracted,41.78,%,2024,route_a_appendix_table,0.96,auto_cited,,table_page_40,40,1,,女性员工比例 % 2022年 41.64 2023年 42.15 2024年 41.78,女性员工比例 % 2022年 41.64 2023年 42.15 2024年 41.78
employee_turnover_rate,员工流失率,S,extracted,1.5,%,2024,route_a_appendix_table,0.9500000000000001,auto_cited,,table_page_30,30,1,,员工离职率 (%) 2024 1.50% 2023 2.31% 2022 3.20%,员工离职率 (%) 2024 1.50% 2023 2.31% 2022 3.20%
training_total_hours,员工培训总时长,S,extracted,312450,小时,2024,route_a_appendix_table,0.97,auto_cited,,table_page_40,40,1,,员工培训总时长 小时 2022年 283995 2023年 291780 2024年 312450,员工培训总时长 小时 2022年 283995 2023年 291780 2024年 312450
training_hours_per_employee,人均培训时长,S,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p30_45,30,1,0.17639344,51 鲁抗医药2024 年度ESG 可持续发展报告 50 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 理念与目标 → ++ 鲁抗医药全面落实新发展理念，始终坚持“以人为本，以人的价值为本”。以建设健康和谐、公平公正、 敢于创新、善于学习的鲁抗为宗旨，围绕人力资源“三条主线”，常态化开展三项制度改革，把鲁抗建 设成为广大员工干事创业、安身立命、实现价值的平台。 工作成效 → ++ 公司员工权益关键指标 年 度 2024 2023 2022 劳动合同签订率（%） 100% 100% 100% 社会保险覆盖率（%） 100% 100% 100% 女性管理者比例（%） 24.00% 24.32% 24.21% 人均带薪休假天数（天） 9.10 8.99 9.90 员工培训覆盖率（%） 100% 100% 100% 职工平均工资水平（万元） 8.77 8.71 7.60 员工离职率（%） 1.50% 2.31% 3.20% 公司员工帮扶项目有关统计...,51 鲁抗医药2024 年度ESG 可持续发展报告 50 ESG 管理 育才与共 助力员工发展 和衷共济 坚守初心使命 发展相伴 携手伙伴共赢 创新驱动 释放发展动能 质量为本 确保产品安全 绿色发展 实现生态共赢 规范治理 深化国企改革 走进鲁抗 理念与目标 → ++ 鲁抗医药全面落实新发展理念，始终坚持“以人为本，以人的价值为本”。以建设健康和谐、公平公正、 敢于创新、善于学习的鲁抗为宗旨，围绕人力资源“三条主线”，常态化开展三项...
training_coverage_rate,员工培训覆盖率,S,extracted,100,%,2024,route_a_appendix_table,0.97,auto_cited,,table_page_30,30,1,,员工培训覆盖率 (%) 2024 100% 2023 100% 2022 100%,员工培训覆盖率 (%) 2024 100% 2023 100% 2022 100%
social_security_coverage,社会保险覆盖率,S,extracted,100,%,2024,route_a_appendix_table,0.92,auto_cited,,table_page_30,30,1,,社会保险覆盖率 (%) 2024 100% 2023 100% 2022 100%,社会保险覆盖率 (%) 2024 100% 2023 100% 2022 100%
employee_medical_checkup_coverage,员工体检覆盖率,S,extracted,56,%,2024,route_a_appendix_table,0.9,auto_cited,,table_page_40,40,1,,员工体检覆盖率 % 2022年 47 2023年 53 2024年 56,员工体检覆盖率 % 2022年 47 2023年 53 2024年 56
trained_employees_count,受训员工人数,S,extracted,2078,人次,2024,route_a_appendix_table,0.9,auto_cited,,table_page_40,40,1,,质量培训人次 人次 2022年 1537 2023年 1700 2024年 2078,质量培训人次 人次 2022年 1537 2023年 1700 2024年 2078
safety_accident_count,安全生产事故数量,S,extracted,0,起,2024,route_a_appendix_table,0.9500000000000001,auto_cited,,table_page_40,40,1,,重大质量安全事故数 起 2022年 0 2023年 0 2024年 0,重大质量安全事故数 起 2022年 0 2023年 0 2024年 0
occupational_health_safety_investment,安全生产投入,S,extracted,2579,万元,2024,route_a_appendix_table,0.9,auto_cited,,table_page_40,40,1,,安全生产投入 万元 2022年 1303 2023年 1912 2024年 2579,安全生产投入 万元 2022年 1303 2023年 1912 2024年 2579
safety_emergency_drill_count,安全应急演练次数,S,extracted,703,次,2024,route_a_appendix_table,0.9,auto_cited,,table_page_40,40,1,,安全应急演练次数 次 2022年 286 2023年 621 2024年 703,安全应急演练次数 次 2022年 286 2023年 621 2024年 703
